t,r,l,s
1667412000,1.1734,53.99,46.01
1667433600,1.5727,61.13,38.87
1667455200,1.5536,60.84,39.16
1667476800,1.6882,62.8,37.2
1667498400,1.5974,61.5,38.5
1667520000,1.6199,61.83,38.17
1667541600,1.5478,60.75,39.25
1667563200,1.1482,53.45,46.55
1667584800,0.9833,49.58,50.42
1667606400,0.8113,44.79,55.21
1667628000,0.7467,42.75,57.25
1667649600,0.7289,42.16,57.84
1667671200,0.7528,42.95,57.05
1667692800,0.7452,42.7,57.3
1667714400,0.7646,43.33,56.67
1667736000,0.8315,45.4,54.6
1667757600,0.8619,46.29,53.71
1667779200,0.9033,47.46,52.54
1667800800,1.1115,52.64,47.36
1667822400,1.3485,57.42,42.58
1667844000,1.4826,59.72,40.28
1667865600,1.6903,62.83,37.17
1667887200,2.1299,68.05,31.95
1667908800,2.2165,68.91,31.09
1667930400,2.2415,69.15,30.85
1667952000,3.2052,76.22,23.78
1667973600,2.9857,74.91,25.09
1667995200,3.0371,75.23,24.77
1668016800,3.095,75.58,24.42
1668038400,2.5051,71.47,28.53
1668060000,2.7807,73.55,26.45
1668081600,2.3146,69.83,30.17
1668103200,1.891,65.41,34.59
1668124800,2.013,66.81,33.19
1668146400,2.3047,69.74,30.26
1668168000,2.0321,67.02,32.98
1668189600,2.1289,68.04,31.96
1668211200,2.2175,68.92,31.08
1668232800,2.1407,68.16,31.84
1668254400,2.0684,67.41,32.59
1668276000,1.9172,65.72,34.28
1668297600,1.9551,66.16,33.84
1668319200,2.0139,66.82,33.18
1668340800,2.2425,69.16,30.84
1668362400,2.2755,69.47,30.53
1668384000,2.44,70.93,29.07
1668405600,2.4953,71.39,28.61
1668427200,1.8802,65.28,34.72
1668448800,2.0902,67.64,32.36
1668470400,2.4002,70.59,29.41
1668492000,1.9833,66.48,33.52
1668513600,1.7473,63.6,36.4
1668535200,1.5297,60.47,39.53
1668556800,1.5323,60.51,39.49
1668578400,1.5044,60.07,39.93
1668600000,1.7457,63.58,36.42
1668621600,2.3367,70.03,29.97
1668643200,2.2852,69.56,30.44
1668664800,2.2468,69.2,30.8
1668686400,2.0193,66.88,33.12
1668708000,1.8835,65.32,34.68
1668729600,1.6969,62.92,37.08
1668751200,1.6212,61.85,38.15
1668772800,1.8273,64.63,35.37
1668794400,1.9078,65.61,34.39
1668816000,2.0084,66.76,33.24
1668837600,2.0102,66.78,33.22
1668859200,1.9976,66.64,33.36
1668880800,1.9568,66.18,33.82
1668902400,1.9146,65.69,34.31
1668924000,1.9815,66.46,33.54
1668945600,1.9516,66.12,33.88
1668967200,1.994,66.6,33.4
1668988800,2.2669,69.39,30.61
1669010400,2.5423,71.77,28.23
1669032000,2.5894,72.14,27.86
1669053600,2.5537,71.86,28.14
1669075200,2.6417,72.54,27.46
1669096800,2.5689,71.98,28.02
1669118400,2.5587,71.9,28.1
1669140000,1.8662,65.11,34.89
1669161600,1.9922,66.58,33.42
1669183200,1.6247,61.9,38.1
1669204800,1.4486,59.16,40.84
1669226400,1.4184,58.65,41.35
1669248000,1.5413,60.65,39.35
1669269600,1.429,58.83,41.17
1669291200,1.3855,58.08,41.92
1669312800,1.3804,57.99,42.01
1669334400,1.3929,58.21,41.79
1669356000,1.4021,58.37,41.63
1669377600,1.4462,59.12,40.88
1669399200,1.4313,58.87,41.13
1669420800,1.4408,59.03,40.97
1669442400,1.4184,58.65,41.35
1669464000,1.4096,58.5,41.5
1669485600,1.4372,58.97,41.03
1669507200,1.4882,59.81,40.19
1669528800,1.4716,59.54,40.46
1669550400,1.4516,59.21,40.79
1669572000,1.5069,60.11,39.89
1669593600,1.5634,60.99,39.01
1669615200,1.9412,66.0,34.0
1669636800,1.8645,65.09,34.91
1669658400,1.8466,64.87,35.13
1669680000,1.9138,65.68,34.32
1669701600,1.6717,62.57,37.43
1669723200,1.4219,58.71,41.29
1669744800,1.5733,61.14,38.86
1669766400,1.5419,60.66,39.34
1669788000,1.3776,57.94,42.06
1669809600,1.3535,57.51,42.49
1669831200,1.368,57.77,42.23
1669852800,1.2497,55.55,44.45
1669874400,1.0542,51.32,48.68
1669896000,1.0751,51.81,48.19
1669917600,1.1678,53.87,46.13
1669939200,1.2104,54.76,45.24
1669960800,1.2462,55.48,44.52
1669982400,1.2523,55.6,44.4
1670004000,1.2999,56.52,43.48
1670025600,1.2391,55.34,44.66
1670047200,1.2026,54.6,45.4
1670068800,1.2614,55.78,44.22
1670090400,1.2857,56.25,43.75
1670112000,1.31,56.71,43.29
1670133600,1.2676,55.9,44.1
1670155200,1.292,56.37,43.63
1670176800,1.2036,54.62,45.38
1670198400,1.1964,54.47,45.53
1670220000,1.1231,52.9,47.1
1670241600,1.0851,52.04,47.96
1670263200,1.281,56.16,43.84
1670284800,1.4956,59.93,40.07
1670306400,1.4355,58.94,41.06
1670328000,1.4594,59.34,40.66
1670349600,1.442,59.05,40.95
1670371200,1.4231,58.73,41.27
1670392800,1.4079,58.47,41.53
1670414400,1.6969,62.92,37.08
1670436000,1.6219,61.86,38.14
1670457600,1.6062,61.63,38.37
1670479200,1.5031,60.05,39.95
1670500800,1.482,59.71,40.29
1670522400,1.3127,56.76,43.24
1670544000,1.0137,50.34,49.66
1670565600,0.9512,48.75,51.25
1670587200,0.9833,49.58,50.42
1670608800,0.9732,49.32,50.68
1670630400,1.021,50.52,49.48
1670652000,1.0309,50.76,49.24
1670673600,1.0517,51.26,48.74
1670695200,1.0479,51.17,48.83
1670716800,1.0606,51.47,48.53
1670738400,1.0899,52.15,47.85
1670760000,1.076,51.83,48.17
1670781600,1.1061,52.52,47.48
1670803200,1.1744,54.01,45.99
1670824800,1.4114,58.53,41.47
1670846400,1.4582,59.32,40.68
1670868000,1.2815,56.17,43.83
1670889600,1.1395,53.26,46.74
1670911200,1.0942,52.25,47.75
1670932800,0.9055,47.52,52.48
1670954400,0.7905,44.15,55.85
1670976000,0.8529,46.03,53.97
1670997600,0.8615,46.28,53.72
1671019200,0.8857,46.97,53.03
1671040800,0.8342,45.48,54.52
1671062400,0.8132,44.85,55.15
1671084000,0.8498,45.94,54.06
1671105600,0.9361,48.35,51.65
1671127200,1.2568,55.69,44.31
1671148800,1.3674,57.76,42.24
1671170400,1.4432,59.07,40.93
1671192000,1.7167,63.19,36.81
1671213600,1.7027,63.0,37.0
1671235200,1.8011,64.3,35.7
1671256800,1.8531,64.95,35.05
1671278400,1.8629,65.07,34.93
1671300000,1.8361,64.74,35.26
1671321600,2.003,66.7,33.3
1671343200,1.9994,66.66,33.34
1671364800,1.9002,65.52,34.48
1671386400,1.9011,65.53,34.47
1671408000,1.9656,66.28,33.72
1671429600,1.9002,65.52,34.48
1671451200,1.8727,65.19,34.81
1671472800,1.9343,65.92,34.08
1671494400,1.9985,66.65,33.35
1671516000,1.9682,66.31,33.69
1671537600,1.7167,63.19,36.81
1671559200,1.6274,61.94,38.06
1671580800,1.6164,61.78,38.22
1671602400,1.5907,61.4,38.6
1671624000,1.6089,61.67,38.33
1671645600,1.6015,61.56,38.44
1671667200,1.642,62.15,37.85
1671688800,1.6205,61.84,38.16
1671710400,1.6178,61.8,38.2
1671732000,1.8727,65.19,34.81
1671753600,1.9481,66.08,33.92
1671775200,1.8885,65.38,34.62
1671796800,1.7609,63.78,36.22
1671818400,1.7579,63.74,36.26
1671840000,1.7785,64.01,35.99
1671861600,1.7571,63.73,36.27
1671883200,1.702,62.99,37.01
1671904800,1.6918,62.85,37.15
1671926400,1.681,62.7,37.3
1671948000,1.694,62.88,37.12
1671969600,1.6903,62.83,37.17
1671991200,1.6918,62.85,37.15
1672012800,1.7137,63.15,36.85
1672034400,1.6406,62.13,37.87
1672056000,1.6969,62.92,37.08
1672077600,1.7211,63.25,36.75
1672099200,1.7203,63.24,36.76
1672120800,1.6932,62.87,37.13
1672142400,1.7739,63.95,36.05
1672164000,1.9351,65.93,34.07
1672185600,2.2092,68.84,31.16
1672207200,2.1556,68.31,31.69
1672228800,2.1908,68.66,31.34
1672250400,2.2605,69.33,30.67
1672272000,2.3212,69.89,30.11
1672293600,2.3647,70.28,29.72
1672315200,2.3356,70.02,29.98
1672336800,2.1878,68.63,31.37
1672358400,2.1908,68.66,31.34
1672380000,2.2415,69.15,30.85
1672401600,2.3322,69.99,30.01
1672423200,2.199,68.74,31.26
1672444800,2.2605,69.33,30.67
1672466400,2.1959,68.71,31.29
1672488000,2.2468,69.2,30.8
1672509600,2.1646,68.4,31.6
1672531200,2.2216,68.96,31.04
1672552800,2.2552,69.28,30.72
1672574400,2.252,69.25,30.75
1672596000,2.2352,69.09,30.91
1672617600,2.125,68.0,32.0
1672639200,2.1309,68.06,31.94
1672660800,1.9833,66.48,33.52
1672682400,1.9472,66.07,33.93
1672704000,1.9586,66.2,33.8
1672725600,2.0331,67.03,32.97
1672747200,1.8694,65.15,34.85
1672768800,2.0312,67.01,32.99
1672790400,2.0202,66.89,33.11
1672812000,1.6903,62.83,37.17
1672833600,1.5291,60.46,39.54
1672855200,1.5183,60.29,39.71
1672876800,1.5497,60.78,39.22
1672898400,1.5536,60.84,39.16
1672920000,1.5355,60.56,39.44
1672941600,1.5138,60.22,39.78
1672963200,1.5094,60.15,39.85
1672984800,1.5549,60.86,39.14
1673006400,1.6575,62.37,37.63
1673028000,1.6596,62.4,37.6
1673049600,1.4284,58.82,41.18
1673071200,1.324,56.97,43.03
1673092800,1.2978,56.48,43.52
1673114400,1.3223,56.94,43.06
1673136000,1.3159,56.82,43.18
1673157600,1.3121,56.75,43.25
1673179200,1.3245,56.98,43.02
1673200800,1.3618,57.66,42.34
1673222400,1.4195,58.67,41.33
1673244000,1.2356,55.27,44.73
1673265600,1.1445,53.37,46.63
1673287200,1.1119,52.65,47.35
1673308800,1.0442,51.08,48.92
1673330400,1.082,51.97,48.03
1673352000,1.0636,51.54,48.46
1673373600,0.9818,49.54,50.46
1673395200,0.9026,47.44,52.56
1673416800,0.8406,45.67,54.33
1673438400,0.8406,45.67,54.33
1673460000,0.8567,46.14,53.86
1673481600,0.9015,47.41,52.59
1673503200,0.7705,43.52,56.48
1673524800,0.8232,45.15,54.85
1673546400,0.8605,46.25,53.75
1673568000,0.7924,44.21,55.79
1673589600,0.7498,42.85,57.15
1673611200,0.7746,43.65,56.35
1673632800,0.7634,43.29,56.71
1673654400,0.7976,44.37,55.63
1673676000,0.9455,48.6,51.4
1673697600,0.8793,46.79,53.21
1673719200,0.9066,47.55,52.45
1673740800,0.9091,47.62,52.38
1673762400,0.8553,46.1,53.9
1673784000,0.8619,46.29,53.71
1673805600,0.9055,47.52,52.48
1673827200,0.9008,47.39,52.61
1673848800,0.9658,49.13,50.87
1673870400,0.9062,47.54,52.46
1673892000,0.8392,45.63,54.37
1673913600,0.7565,43.07,56.93
1673935200,0.7516,42.91,57.09
1673956800,0.7693,43.48,56.52
1673978400,0.8258,45.23,54.77
1674000000,0.7569,43.08,56.92
1674021600,0.7683,43.45,56.55
1674043200,0.8132,44.85,55.15
1674064800,0.8169,44.96,55.04
1674086400,0.8038,44.56,55.44
1674108000,0.8587,46.2,53.8
1674129600,0.8312,45.39,54.61
1674151200,0.8162,44.94,55.06
1674172800,0.7677,43.43,56.57
1674194400,0.7501,42.86,57.14
1674216000,0.7921,44.2,55.8
1674237600,0.6756,40.32,59.68
1674259200,0.8332,45.45,54.55
1674280800,0.7259,42.06,57.94
1674302400,0.935,48.32,51.68
1674324000,0.9183,47.87,52.13
1674345600,0.8355,45.52,54.48
1674367200,0.9455,48.6,51.4
1674388800,0.9763,49.4,50.6
1674410400,1.0695,51.68,48.32
1674432000,1.0036,50.09,49.91
1674453600,0.9853,49.63,50.37
1674475200,1.0392,50.96,49.04
1674496800,1.0105,50.26,49.74
1674518400,0.9837,49.59,50.41
1674540000,0.9346,48.31,51.69
1674561600,1.0354,50.87,49.13
1674583200,1.0317,50.78,49.22
1674604800,1.0379,50.93,49.07
1674626400,1.1281,53.01,46.99
1674648000,1.134,53.14,46.86
1674669600,1.1664,53.84,46.16
1674691200,1.1584,53.67,46.33
1674712800,1.1482,53.45,46.55
1674734400,1.1825,54.18,45.82
1674756000,1.2482,55.52,44.48
1674777600,1.2477,55.51,44.49
1674799200,1.2386,55.33,44.67
1674820800,1.2002,54.55,45.45
1674842400,1.1004,52.39,47.61
1674864000,1.0825,51.98,48.02
1674885600,1.0986,52.35,47.65
1674907200,1.2114,54.78,45.22
1674928800,1.2257,55.07,44.93
1674950400,1.2124,54.8,45.2
1674972000,1.0231,50.57,49.43
1674993600,0.8843,46.93,53.07
1675015200,0.8702,46.53,53.47
1675036800,0.8501,45.95,54.05
1675058400,0.8322,45.42,54.58
1675080000,1.0894,52.14,47.86
1675101600,1.2188,54.93,45.07
1675123200,1.2467,55.49,44.51
1675144800,1.2247,55.05,44.95
1675166400,1.2267,55.09,44.91
1675188000,1.1195,52.82,47.18
1675209600,1.0925,52.21,47.79
1675231200,1.0713,51.72,48.28
1675252800,1.0969,52.31,47.69
1675274400,1.1008,52.4,47.6
1675296000,0.8332,45.45,54.55
1675317600,0.8508,45.97,54.03
1675339200,0.8713,46.56,53.44
1675360800,0.9055,47.52,52.48
1675382400,1.0076,50.19,49.81
1675404000,1.07,51.69,48.31
1675425600,1.1906,54.35,45.65
1675447200,1.1687,53.89,46.11
1675468800,1.3105,56.72,43.28
1675490400,1.3256,57.0,43.0
1675512000,1.457,59.3,40.7
1675533600,1.4062,58.44,41.56
1675555200,1.4015,58.36,41.64
1675576800,1.4528,59.23,40.77
1675598400,1.4307,58.86,41.14
1675620000,1.4242,58.75,41.25
1675641600,1.5893,61.38,38.62
1675663200,1.5342,60.54,39.46
1675684800,1.5044,60.07,39.93
1675706400,1.4783,59.65,40.35
1675728000,1.5361,60.57,39.43
1675749600,1.5471,60.74,39.26
1675771200,1.4606,59.36,40.64
1675792800,1.3895,58.15,41.85
1675814400,1.3202,56.9,43.1
1675836000,1.2533,55.62,44.38
1675857600,1.3026,56.57,43.43
1675879200,1.6476,62.23,37.77
1675900800,1.6137,61.74,38.26
1675922400,1.6497,62.26,37.74
1675944000,1.4863,59.78,40.22
1675965600,1.5164,60.26,39.74
1675987200,1.5157,60.25,39.75
1676008800,1.5806,61.25,38.75
1676030400,1.5667,61.04,38.96
1676052000,1.576,61.18,38.82
1676073600,1.642,62.15,37.85
1676095200,1.6015,61.56,38.44
1676116800,1.59,61.39,38.61
1676138400,1.6532,62.31,37.69
1676160000,1.7579,63.74,36.26
1676181600,1.748,63.61,36.39
1676203200,1.8082,64.39,35.61
1676224800,1.7832,64.07,35.93
1676246400,1.751,63.65,36.35
1676268000,1.7078,63.07,36.93
1676289600,1.7427,63.54,36.46
1676311200,1.6553,62.34,37.66
1676332800,1.6896,62.82,37.18
1676354400,1.6903,62.83,37.17
1676376000,1.656,62.35,37.65
1676397600,1.439,59.0,41.0
1676419200,1.3315,57.11,42.89
1676440800,1.3669,57.75,42.25
1676462400,1.2573,55.7,44.3
1676484000,1.0894,52.14,47.86
1676505600,0.9286,48.15,51.85
1676527200,0.8674,46.45,53.55
1676548800,0.8086,44.71,55.29
1676570400,0.8629,46.32,53.68
1676592000,0.7851,43.98,56.02
1676613600,1.0072,50.18,49.82
1676635200,1.1218,52.87,47.13
1676656800,1.035,50.86,49.14
1676678400,0.8965,47.27,52.73
1676700000,0.8779,46.75,53.25
1676721600,0.8591,46.21,53.79
1676743200,0.9109,47.67,52.33
1676764800,0.9029,47.45,52.55
1676786400,0.8801,46.81,53.19
1676808000,0.9857,49.64,50.36
1676829600,0.9128,47.72,52.28
1676851200,0.994,49.85,50.15
1676872800,1.0717,51.73,48.27
1676894400,0.9175,47.85,52.15
1676916000,0.8983,47.32,52.68
1676937600,0.9357,48.34,51.66
1676959200,0.9091,47.62,52.38
1676980800,1.0589,51.43,48.57
1677002400,1.3191,56.88,43.12
1677024000,1.4231,58.73,41.27
1677045600,1.4637,59.41,40.59
1677067200,1.5107,60.17,39.83
1677088800,1.6575,62.37,37.63
1677110400,1.6882,62.8,37.2
1677132000,1.474,59.58,40.42
1677153600,1.71,63.1,36.9
1677175200,1.6961,62.91,37.09
1677196800,1.7685,63.88,36.12
1677218400,1.6947,62.89,37.11
1677240000,1.7886,64.14,35.86
1677261600,2.0525,67.24,32.76
1677283200,2.1857,68.61,31.39
1677304800,2.1319,68.07,31.93
1677326400,2.0637,67.36,32.64
1677348000,2.075,67.48,32.52
1677369600,2.059,67.31,32.69
1677391200,2.0534,67.25,32.75
1677412800,2.0248,66.94,33.06
1677434400,2.0084,66.76,33.24
1677456000,1.8474,64.88,35.12
1677477600,1.764,63.82,36.18
1677499200,1.8289,64.65,35.35
1677520800,1.7755,63.97,36.03
1677542400,1.8169,64.5,35.5
1677564000,1.6998,62.96,37.04
1677585600,1.7847,64.09,35.91
1677607200,1.6302,61.98,38.02
1677628800,1.8514,64.93,35.07
1677650400,1.3901,58.16,41.84
1677672000,1.2941,56.41,43.59
1677693600,1.3635,57.69,42.31
1677715200,1.6504,62.27,37.73
1677736800,1.713,63.14,36.86
1677758400,1.867,65.12,34.88
1677780000,2.0111,66.79,33.21
1677801600,1.9326,65.9,34.1
1677823200,2.3267,69.94,30.06
1677844800,2.3003,69.7,30.3
1677866400,2.1716,68.47,31.53
1677888000,2.1786,68.54,31.46
1677909600,2.0998,67.74,32.26
1677931200,2.0769,67.5,32.5
1677952800,2.0731,67.46,32.54
1677974400,2.0969,67.71,32.29
1677996000,2.1447,68.2,31.8
1678017600,2.0969,67.71,32.29
1678039200,2.0066,66.74,33.26
1678060800,2.046,67.17,32.83
1678082400,2.0864,67.6,32.4
1678104000,2.0488,67.2,32.8
1678125600,1.8637,65.08,34.92
1678147200,1.97,66.33,33.67
1678168800,1.924,65.8,34.2
1678190400,2.0048,66.72,33.28
1678212000,1.9577,66.19,33.81
1678233600,2.1656,68.41,31.59
1678255200,2.1338,68.09,31.91
1678276800,1.9869,66.52,33.48
1678298400,1.93,65.87,34.13
1678320000,2.1496,68.25,31.75
1678341600,2.2541,69.27,30.73
1678363200,2.3256,69.93,30.07
1678384800,2.4459,70.98,29.02
1678406400,2.2196,68.94,31.06
1678428000,1.9789,66.43,33.57
1678449600,1.7322,63.4,36.6
1678471200,1.9665,66.29,33.71
1678492800,1.9525,66.13,33.87
1678514400,1.9438,66.03,33.97
1678536000,1.8678,65.13,34.87
1678557600,1.8417,64.81,35.19
1678579200,1.7181,63.21,36.79
1678600800,1.4988,59.98,40.02
1678622400,1.4637,59.41,40.59
1678644000,1.4679,59.48,40.52
1678665600,1.4056,58.43,41.57
1678687200,1.1983,54.51,45.49
1678708800,1.1227,52.89,47.11
1678730400,0.9482,48.67,51.33
1678752000,0.8529,46.03,53.97
1678773600,0.922,47.97,52.03
1678795200,0.904,47.48,52.52
1678816800,0.9604,48.99,51.01
1678838400,1.0149,50.37,49.63
1678860000,1.0648,51.57,48.43
1678881600,1.0479,51.17,48.83
1678903200,1.006,50.15,49.85
1678924800,1.0585,51.42,48.58
1678946400,1.0881,52.11,47.89
1678968000,1.021,50.52,49.48
1678989600,1.0165,50.41,49.59
1679011200,0.9501,48.72,51.28
1679032800,0.8477,45.88,54.12
1679054400,0.8282,45.3,54.7
1679076000,0.7575,43.1,56.9
1679097600,0.787,44.04,55.96
1679119200,0.8255,45.22,54.78
1679140800,0.8031,44.54,55.46
1679162400,0.7355,42.38,57.62
1679184000,0.7074,41.43,58.57
1679205600,0.7388,42.49,57.51
1679227200,0.7784,43.77,56.23
1679248800,0.8064,44.64,55.36
1679270400,0.7677,43.43,56.57
1679292000,0.8587,46.2,53.8
1679313600,0.6981,41.11,58.89
1679335200,0.8146,44.89,55.11
1679356800,0.7712,43.54,56.46
1679378400,0.8136,44.86,55.14
1679400000,0.7425,42.61,57.39
1679421600,0.6779,40.4,59.6
1679443200,0.7289,42.16,57.84
1679464800,0.7068,41.41,58.59
1679486400,0.7191,41.83,58.17
1679508000,0.7535,42.97,57.03
1679529600,0.8549,46.09,53.91
1679551200,0.8765,46.71,53.29
1679572800,0.7892,44.11,55.89
1679594400,0.6268,38.53,61.47
1679616000,0.7047,41.34,58.66
1679637600,0.7397,42.52,57.48
1679659200,0.8305,45.37,54.63
1679680800,0.8365,45.55,54.45
1679702400,0.9429,48.53,51.47
1679724000,0.8871,47.01,52.99
1679745600,0.919,47.89,52.11
1679767200,0.9309,48.21,51.79
1679788800,0.9361,48.35,51.65
1679810400,0.8965,47.27,52.73
1679832000,0.912,47.7,52.3
1679853600,0.879,46.78,53.22
1679875200,0.8258,45.23,54.77
1679896800,0.8515,45.99,54.01
1679918400,0.8376,45.58,54.42
1679940000,1.0816,51.96,48.04
1679961600,1.103,52.45,47.55
1679983200,1.0816,51.96,48.04
1680004800,1.0585,51.42,48.58
1680026400,1.0674,51.63,48.37
1680048000,0.9701,49.24,50.76
1680069600,0.908,47.59,52.41
1680091200,0.734,42.33,57.67
1680112800,0.7094,41.5,58.5
1680134400,0.6955,41.02,58.98
1680156000,0.7473,42.77,57.23
1680177600,0.7476,42.78,57.22
1680199200,0.8149,44.9,55.1
1680220800,0.9231,48.0,52.0
1680242400,0.9508,48.74,51.26
1680264000,0.9893,49.73,50.27
1680285600,0.7241,42.0,58.0
1680307200,0.7188,41.82,58.18
1680328800,0.7044,41.33,58.67
1680350400,0.7059,41.38,58.62
1680372000,0.7349,42.36,57.64
1680393600,0.7413,42.57,57.43
1680415200,0.7416,42.58,57.42
1680436800,0.7867,44.03,55.97
1680458400,0.89,47.09,52.91
1680480000,0.9209,47.94,52.06
1680501600,1.0538,51.31,48.69
1680523200,0.8272,45.27,54.73
1680544800,0.9312,48.22,51.78
1680566400,1.0973,52.32,47.68
1680588000,1.0938,52.24,47.76
1680609600,0.8829,46.89,53.11
1680631200,0.915,47.78,52.22
1680652800,0.8804,46.82,53.18
1680674400,0.7247,42.02,57.98
1680696000,0.7391,42.5,57.5
1680717600,1.1137,52.69,47.31
1680739200,1.0602,51.46,48.54
1680760800,1.0768,51.85,48.15
1680782400,1.2119,54.79,45.21
1680804000,1.1432,53.34,46.66
1680825600,1.1436,53.35,46.65
1680847200,1.1603,53.71,46.29
1680868800,1.2462,55.48,44.52
1680890400,1.2277,55.11,44.89
1680912000,1.2341,55.24,44.76
1680933600,1.2217,54.99,45.01
1680955200,1.1547,53.59,46.41
1680976800,1.1478,53.44,46.56
1680998400,1.2056,54.66,45.34
1681020000,1.1182,52.79,47.21
1681041600,1.2676,55.9,44.1
1681063200,1.266,55.87,44.13
1681084800,0.9033,47.46,52.54
1681106400,0.8678,46.46,53.54
1681128000,0.8685,46.48,53.52
1681149600,0.5962,37.35,62.65
1681171200,0.6044,37.67,62.33
1681192800,0.5785,36.65,63.35
1681214400,0.5941,37.27,62.73
1681236000,0.6163,38.13,61.87
1681257600,0.641,39.06,60.94
1681279200,0.6731,40.23,59.77
1681300800,0.7097,41.51,58.49
1681322400,0.7765,43.71,56.29
1681344000,0.8031,44.54,55.46
1681365600,0.7749,43.66,56.34
1681387200,0.7325,42.28,57.72
1681408800,0.6658,39.97,60.03
1681430400,0.6841,40.62,59.38
1681452000,0.7126,41.61,58.39
1681473600,0.7565,43.07,56.93
1681495200,0.8797,46.8,53.2
1681516800,0.8685,46.48,53.52
1681538400,0.8278,45.29,54.71
1681560000,0.8342,45.48,54.52
1681581600,0.8519,46.0,54.0
1681603200,0.8706,46.54,53.46
1681624800,0.8921,47.15,52.85
1681646400,0.9048,47.5,52.5
1681668000,0.9216,47.96,52.04
1681689600,0.9631,49.06,50.94
1681711200,1.0872,52.09,47.91
1681732800,1.1151,52.72,47.28
1681754400,1.2665,55.88,44.12
1681776000,1.2784,56.11,43.89
1681797600,1.3326,57.13,42.87
