t,r,l,s
1696204800,1.0851,52.04,47.96
1696226400,0.9395,48.44,51.56
1696248000,0.8546,46.08,53.92
1696269600,0.8818,46.86,53.14
1696291200,1.1101,52.61,47.39
1696312800,1.2232,55.02,44.98
1696334400,1.2467,55.49,44.51
1696356000,1.3747,57.89,42.11
1696377600,1.4284,58.82,41.18
1696399200,1.451,59.2,40.8
1696420800,1.4963,59.94,40.06
1696442400,1.4697,59.51,40.49
1696464000,1.3436,57.33,42.67
1696485600,1.3121,56.75,43.25
1696507200,1.3207,56.91,43.09
1696528800,1.3332,57.14,42.86
1696550400,1.3883,58.13,41.87
1696572000,1.3849,58.07,41.93
1696593600,1.28,56.14,43.86
1696615200,1.0032,50.08,49.92
1696636800,0.926,48.08,51.92
1696658400,0.9459,48.61,51.39
1696680000,0.9482,48.67,51.33
1696701600,0.955,48.85,51.15
1696723200,0.955,48.85,51.15
1696744800,0.9654,49.12,50.88
1696766400,1.0084,50.21,49.79
1696788000,1.0227,50.56,49.44
1696809600,1.0317,50.78,49.22
1696831200,1.0222,50.55,49.45
1696852800,1.2512,55.58,44.42
1696874400,1.3708,57.82,42.18
1696896000,1.2753,56.05,43.95
1696917600,1.2321,55.2,44.8
1696939200,1.2046,54.64,45.36
1696960800,1.4728,59.56,40.44
1696982400,1.5151,60.24,39.76
1697004000,1.7793,64.02,35.98
1697025600,1.656,62.35,37.65
1697047200,1.97,66.33,33.67
1697068800,2.123,67.98,32.02
1697090400,1.9438,66.03,33.97
1697112000,1.8321,64.69,35.31
1697133600,1.8868,65.36,34.64
1697155200,1.8555,64.98,35.02
1697176800,1.8249,64.6,35.4
1697198400,1.8106,64.42,35.58
1697220000,1.8249,64.6,35.4
1697241600,1.8257,64.61,35.39
1697263200,1.777,63.99,36.01
1697284800,1.7933,64.2,35.8
1697306400,1.784,64.08,35.92
1697328000,1.8249,64.6,35.4
1697349600,1.8019,64.31,35.69
1697371200,1.8121,64.44,35.56
1697392800,1.7442,63.56,36.44
1697414400,1.5381,60.6,39.4
1697436000,1.2119,54.79,45.21
1697457600,1.0551,51.34,48.66
1697479200,1.2462,55.48,44.52
1697500800,1.1277,53.0,47.0
1697522400,1.1173,52.77,47.23
1697544000,1.0433,51.06,48.94
1697565600,0.9826,49.56,50.44
1697587200,0.972,49.29,50.71
1697608800,0.9916,49.79,50.21
1697630400,1.0881,52.11,47.89
1697652000,1.0938,52.24,47.76
1697673600,1.1277,53.0,47.0
1697695200,1.1381,53.23,46.77
1697716800,1.0777,51.87,48.13
1697738400,0.9301,48.19,51.81
1697760000,0.908,47.59,52.41
1697781600,0.7986,44.4,55.6
1697803200,0.6827,40.57,59.43
1697824800,0.7507,42.88,57.12
1697846400,0.769,43.47,56.53
1697868000,0.7483,42.8,57.2
1697889600,0.7413,42.57,57.43
1697911200,0.7206,41.88,58.12
1697932800,0.6804,40.49,59.51
1697954400,0.7112,41.56,58.44
1697976000,0.6941,40.97,59.03
1697997600,0.7097,41.51,58.49
1698019200,0.7138,41.65,58.35
1698040800,0.6573,39.66,60.34
1698062400,0.6689,40.08,59.92
1698084000,0.6442,39.18,60.82
1698105600,0.9106,47.66,52.34
1698127200,0.7966,44.34,55.66
1698148800,0.8744,46.65,53.35
1698170400,0.7995,44.43,55.57
1698192000,0.866,46.41,53.59
1698213600,0.8975,47.3,52.7
1698256800,0.8132,44.85,55.15
1698278400,0.7986,44.4,55.6
1698300000,0.7709,43.53,56.47
1698321600,0.8598,46.23,53.77
1698343200,0.885,46.95,53.05
1698364800,0.9095,47.63,52.37
1698386400,0.8936,47.19,52.81
1698408000,0.9026,47.44,52.56
1698429600,0.9627,49.05,50.95
1698451200,0.9581,48.93,51.07
1698472800,0.9327,48.26,51.74
1698494400,0.9562,48.88,51.12
1698516000,0.9658,49.13,50.87
1698537600,0.9608,49.0,51.0
1698559200,0.981,49.52,50.48
1698580800,0.9109,47.67,52.33
1698602400,0.8612,46.27,53.73
1698624000,0.8491,45.92,54.08
1698645600,0.944,48.56,51.44
1698667200,0.9264,48.09,51.91
1698688800,1.0,50.0,50.0
1698710400,0.9916,49.79,50.21
1698732000,1.0768,51.85,48.15
1698753600,0.9877,49.69,50.31
1698775200,0.9724,49.3,50.7
1698796800,0.8879,47.03,52.97
1698818400,0.8943,47.21,52.79
1698840000,0.9562,48.88,51.12
1698861600,1.0296,50.73,49.27
1698883200,0.8169,44.96,55.04
1698904800,0.8512,45.98,54.02
1698926400,0.9161,47.81,52.19
1698948000,1.0708,51.71,48.29
1698969600,0.9869,49.67,50.33
1698991200,1.0614,51.49,48.51
1699012800,1.1725,53.97,46.03
1699034400,1.0589,51.43,48.57
1699056000,1.0509,51.24,48.76
1699077600,0.9861,49.65,50.35
1699099200,0.9782,49.45,50.55
1699120800,0.9728,49.31,50.69
1699142400,0.8882,47.04,52.96
1699164000,0.8501,45.95,54.05
1699185600,0.8619,46.29,53.71
1699207200,0.8713,46.56,53.44
1699228800,0.8688,46.49,53.51
1699250400,0.9246,48.04,51.96
1699272000,0.8179,44.99,55.01
1699293600,0.8957,47.25,52.75
1699315200,0.9131,47.73,52.27
1699336800,0.9736,49.33,50.67
1699358400,1.1044,52.48,47.52
1699380000,1.064,51.55,48.45
1699401600,0.7556,43.04,56.96
1699423200,0.7819,43.88,56.12
1699444800,0.8457,45.82,54.18
1699466400,0.8871,47.01,52.99
1699488000,0.7612,43.22,56.78
1699509600,0.7109,41.55,58.45
1699531200,0.7047,41.34,58.66
1699552800,0.9399,48.45,51.55
1699574400,0.9996,49.99,50.01
1699596000,1.0387,50.95,49.05
1699617600,0.9928,49.82,50.18
1699639200,0.9253,48.06,51.94
1699660800,0.9238,48.02,51.98
1699682400,0.9623,49.04,50.96
1699704000,0.992,49.8,50.2
1699725600,1.0072,50.18,49.82
1699747200,0.9814,49.53,50.47
1699768800,0.9771,49.42,50.58
1699790400,0.9539,48.82,51.18
1699812000,0.9395,48.44,51.56
1699833600,0.9771,49.42,50.58
1699855200,1.0471,51.15,48.85
1699876800,1.0648,51.57,48.43
1699898400,1.0781,51.88,48.12
1699920000,1.0903,52.16,47.84
1699941600,1.1164,52.75,47.25
1699963200,1.158,53.66,46.34
1699984800,1.1772,54.07,45.93
1700006400,1.31,56.71,43.29
1700028000,1.3191,56.88,43.12
1700049600,1.1829,54.19,45.81
1700071200,1.0717,51.73,48.27
1700092800,0.8113,44.79,55.21
1700114400,0.7915,44.18,55.82
1700136000,0.8413,45.69,54.31
1700157600,1.0881,52.11,47.89
1700179200,1.3849,58.07,41.93
1700200800,1.3229,56.95,43.05
1700222400,1.2336,55.23,44.77
1700244000,1.2331,55.22,44.78
1700265600,1.2124,54.8,45.2
1700287200,1.2119,54.79,45.21
1700308800,1.181,54.15,45.85
1700330400,1.0982,52.34,47.66
1700352000,1.1169,52.76,47.24
1700373600,1.1358,53.18,46.82
1700395200,1.1584,53.67,46.33
1700416800,1.1354,53.17,46.83
1700438400,0.9402,48.46,51.54
1700460000,0.9051,47.51,52.49
1700481600,0.944,48.56,51.44
1700503200,0.8737,46.63,53.37
1700524800,0.8349,45.5,54.5
1700546400,0.8292,45.33,54.67
1700568000,0.8543,46.07,53.93
1700589600,0.9539,48.82,51.18
1700611200,1.0683,51.65,48.35
1700632800,1.1801,54.13,45.87
1700654400,1.064,51.55,48.45
1700676000,1.0559,51.36,48.64
1700697600,0.7756,43.68,56.32
1700719200,0.7803,43.83,56.17
1700740800,0.7854,43.99,56.01
1700762400,0.8779,46.75,53.25
1700784000,0.8392,45.63,54.37
1700805600,0.8262,45.24,54.76
1700827200,0.7227,41.95,58.05
1700848800,0.7538,42.98,57.02
1700870400,0.7768,43.72,56.28
1700892000,0.7899,44.13,55.87
1700913600,0.806,44.63,55.37
1700935200,0.8272,45.27,54.73
1700956800,0.8162,44.94,55.06
1700978400,0.8225,45.13,54.87
1701000000,0.8505,45.96,54.04
1701021600,0.9739,49.34,50.66
1701043200,0.9743,49.35,50.65
1701064800,1.0052,50.13,49.87
1701086400,1.096,52.29,47.71
1701108000,1.1612,53.73,46.27
1701129600,1.2046,54.64,45.36
1701151200,1.1445,53.37,46.63
1701172800,1.1427,53.33,46.67
1701194400,0.7699,43.5,56.5
1701216000,0.6793,40.45,59.55
1701237600,0.6964,41.05,58.95
1701259200,0.6598,39.75,60.25
1701280800,0.7902,44.14,55.86
1701302400,0.8077,44.68,55.32
1701324000,0.7892,44.11,55.89
1701345600,0.9109,47.67,52.33
1701367200,0.955,48.85,51.15
1701388800,0.9305,48.2,51.8
1701410400,0.7599,43.18,56.82
1701432000,0.608,37.81,62.19
1701453600,0.6129,38.0,62.0
1701475200,0.5929,37.22,62.78
1701496800,0.6132,38.01,61.99
1701518400,0.6348,38.83,61.17
1701540000,0.6407,39.05,60.95
1701561600,0.6625,39.85,60.15
1701583200,0.6714,40.17,59.83
1701604800,0.6964,41.05,58.95
1701626400,0.7053,41.36,58.64
1701648000,0.7001,41.18,58.82
1701669600,0.7352,42.37,57.63
1701691200,0.6714,40.17,59.83
1701712800,0.66,39.76,60.24
1701734400,0.7126,41.61,58.39
1701756000,0.7167,41.75,58.25
1701777600,0.7153,41.7,58.3
1701799200,0.7806,43.84,56.16
1701820800,0.7851,43.98,56.02
1701842400,0.8005,44.46,55.54
1701864000,0.9209,47.94,52.06
1701885600,0.8896,47.08,52.92
1701907200,0.9022,47.43,52.57
1701928800,0.8896,47.08,52.92
1701950400,0.9257,48.07,51.93
1701972000,0.9623,49.04,50.96
1701993600,1.0227,50.56,49.44
1702015200,1.0288,50.71,49.29
1702036800,1.008,50.2,49.8
1702058400,0.9643,49.09,50.91
1702080000,0.9062,47.54,52.46
1702101600,0.9562,48.88,51.12
1702123200,1.0309,50.76,49.24
1702144800,0.9794,49.48,50.52
1702166400,0.9685,49.2,50.8
1702188000,0.9829,49.57,50.43
1702209600,1.064,51.55,48.45
1702231200,0.9976,49.94,50.06
1702252800,1.0653,51.58,48.42
1702274400,1.089,52.13,47.87
1702296000,1.079,51.9,48.1
1702317600,1.1304,53.06,46.94
1702339200,1.3474,57.4,42.6
1702360800,1.2836,56.21,43.79
1702382400,1.2589,55.73,44.27
1702404000,1.2712,55.97,44.03
1702425600,1.4331,58.9,41.1
1702447200,1.4432,59.07,40.93
1702468800,1.3321,57.12,42.88
1702490400,1.2533,55.62,44.38
1702512000,1.1151,52.72,47.28
1702533600,1.1066,52.53,47.47
1702555200,1.134,53.14,46.86
1702576800,1.0743,51.79,48.21
1702598400,1.082,51.97,48.03
1702620000,1.03,50.74,49.26
1702641600,1.0563,51.37,48.63
1702663200,1.3068,56.65,43.35
1702684800,1.2852,56.24,43.76
1702706400,1.2391,55.34,44.66
1702728000,1.2691,55.93,44.07
1702749600,1.2302,55.16,44.84
1702771200,1.2297,55.15,44.85
1702792800,1.3159,56.82,43.18
1702814400,1.4149,58.59,41.41
1702836000,1.3414,57.29,42.71
1702857600,1.3702,57.81,42.19
1702879200,1.5082,60.13,39.87
1702900800,1.5374,60.59,39.41
1702922400,1.4284,58.82,41.18
1702944000,1.1825,54.18,45.82
1702965600,1.0288,50.71,49.29
1702987200,0.9728,49.31,50.69
1703008800,1.1363,53.19,46.81
1703030400,1.2396,55.35,44.65
1703052000,1.2578,55.71,44.29
1703073600,1.1538,53.57,46.43
1703095200,0.8522,46.01,53.99
1703116800,0.8765,46.71,53.29
1703138400,0.9249,48.05,51.95
1703160000,0.9631,49.06,50.94
1703181600,0.9444,48.57,51.43
1703203200,0.9305,48.2,51.8
1703224800,0.8804,46.82,53.18
1703246400,1.0433,51.06,48.94
1703268000,1.0555,51.35,48.65
1703289600,1.0263,50.65,49.35
1703311200,1.1008,52.4,47.6
1703332800,1.0781,51.88,48.12
1703354400,1.0383,50.94,49.06
1703376000,1.0342,50.84,49.16
1703397600,1.0803,51.93,48.07
1703419200,1.1142,52.7,47.3
1703440800,1.0665,51.61,48.39
1703462400,1.1354,53.17,46.83
1703484000,1.2452,55.46,44.54
1703505600,1.208,54.71,45.29
1703527200,1.1381,53.23,46.77
1703548800,1.1418,53.31,46.69
1703570400,1.3747,57.89,42.11
1703592000,1.5694,61.08,38.92
1703613600,1.6008,61.55,38.45
1703635200,1.6525,62.3,37.7
1703656800,1.576,61.18,38.82
1703678400,1.3502,57.45,42.55
1703700000,1.3878,58.12,41.88
1703721600,1.2573,55.7,44.3
1703743200,1.2041,54.63,45.37
1703764800,1.3256,57.0,43.0
1703786400,1.5019,60.03,39.97
1703808000,1.5517,60.81,39.19
1703829600,1.4963,59.94,40.06
1703851200,1.5221,60.35,39.65
1703872800,1.7563,63.72,36.28
1703894400,1.8852,65.34,34.66
1703916000,1.8043,64.34,35.66
1703937600,1.8098,64.41,35.59
1703959200,1.4516,59.21,40.79
1703980800,1.4438,59.08,40.92
1704002400,1.4552,59.27,40.73
1704024000,1.3714,57.83,42.17
1704045600,1.4278,58.81,41.19
1704067200,1.5069,60.11,39.89
1704088800,1.5063,60.1,39.9
1704110400,1.3015,56.55,43.45
1704132000,1.2533,55.62,44.38
1704153600,1.0829,51.99,48.01
1704175200,0.9146,47.77,52.23
1704196800,0.9286,48.15,51.85
1704218400,0.9489,48.69,51.31
1704240000,1.028,50.69,49.31
1704261600,1.0614,51.49,48.51
1704283200,1.2946,56.42,43.58
1704304800,1.6233,61.88,38.12
1704326400,1.6448,62.19,37.81
1704348000,1.5465,60.73,39.27
1704369600,1.4085,58.48,41.52
1704391200,1.2056,54.66,45.34
1704412800,1.1744,54.01,45.99
1704434400,1.2242,55.04,44.96
1704456000,1.1825,54.18,45.82
1704477600,1.3343,57.16,42.84
1704499200,1.2217,54.99,45.01
1704520800,1.1524,53.54,46.46
1704542400,1.2753,56.05,43.95
1704564000,1.2676,55.9,44.1
1704585600,1.2386,55.33,44.67
1704607200,1.1796,54.12,45.88
1704628800,1.1603,53.71,46.29
1704650400,1.1496,53.48,46.52
1704672000,1.157,53.64,46.36
1704693600,1.265,55.85,44.15
1704715200,1.0881,52.11,47.89
1704736800,0.9316,48.23,51.77
1704758400,0.7899,44.13,55.87
1704780000,0.7443,42.67,57.33
1704801600,0.8172,44.97,55.03
1704823200,0.8423,45.72,54.28
1704844800,1.1626,53.76,46.24
1704866400,1.2277,55.11,44.89
1704888000,1.4337,58.91,41.09
1704909600,1.6137,61.74,38.26
1704931200,1.6076,61.65,38.35
1704952800,1.5927,61.43,38.57
1704974400,1.4643,59.42,40.58
1704996000,1.702,62.99,37.01
1705017600,1.7108,63.11,36.89
1705039200,1.7663,63.85,36.15
1705060800,1.891,65.41,34.59
1705082400,2.659,72.67,27.33
1705104000,2.701,72.98,27.02
1705125600,2.8183,73.81,26.19
1705147200,2.7327,73.21,26.79
1705168800,2.7879,73.6,26.4
1705190400,2.8329,73.91,26.09
1705212000,2.8521,74.04,25.96
1705233600,2.7538,73.36,26.64
1705255200,2.7369,73.24,26.76
1705276800,2.6536,72.63,27.37
1705298400,2.7651,73.44,26.56
1705320000,2.6219,72.39,27.61
1705341600,2.6062,72.27,27.73
1705363200,2.6166,72.35,27.65
1705384800,2.6523,72.62,27.38
1705406400,2.5224,71.61,28.39
1705428000,2.2062,68.81,31.19
1705449600,2.1556,68.31,31.69
1705471200,2.2573,69.3,30.7
1705492800,2.5039,71.46,28.54
1705514400,2.6887,72.89,27.11
1705536000,2.5125,71.53,28.47
1705557600,2.459,71.09,28.91
1705579200,2.6403,72.53,27.47
1705600800,2.7092,73.04,26.96
1705622400,2.9063,74.4,25.6
1705644000,2.867,74.14,25.86
1705665600,2.7594,73.4,26.6
1705687200,2.6832,72.85,27.15
1705708800,2.4412,70.94,29.06
1705730400,2.427,70.82,29.18
1705752000,2.4435,70.96,29.04
1705773600,2.3818,70.43,29.57
1705795200,2.3613,70.25,29.75
1705816800,2.3523,70.17,29.83
1705838400,2.3278,69.95,30.05
1705860000,2.406,70.64,29.36
1705881600,2.3944,70.54,29.46
1705903200,2.635,72.49,27.51
1705924800,2.5997,72.22,27.78
1705946400,2.6819,72.84,27.16
1705968000,2.6193,72.37,27.63
1705989600,2.6062,72.27,27.73
1706011200,2.3535,70.18,29.82
1706032800,2.3156,69.84,30.16
1706054400,2.3523,70.17,29.83
1706076000,2.2927,69.63,30.37
1706097600,2.2041,68.79,31.21
1706119200,2.075,67.48,32.52
1706140800,2.1085,67.83,32.17
1706162400,2.0294,66.99,33.01
1706184000,1.924,65.8,34.2
1706205600,2.076,67.49,32.51
1706227200,2.0312,67.01,32.99
1706248800,1.8425,64.82,35.18
1706270400,1.8637,65.08,34.92
1706292000,1.5439,60.69,39.31
1706313600,1.4624,59.39,40.61
1706335200,1.5,60.0,40.0
1706356800,1.5833,61.29,38.71
1706378400,1.588,61.36,38.64
1706400000,1.5013,60.02,39.98
1706421600,1.5387,60.61,39.39
1706443200,1.5038,60.06,39.94
1706464800,1.505,60.08,39.92
1706486400,1.5674,61.05,38.95
1706508000,1.5913,61.41,38.59
1706529600,1.5259,60.41,39.59
1706551200,1.3736,57.87,42.13
1706572800,1.3359,57.19,42.81
1706594400,1.2331,55.22,44.78
1706616000,1.2396,55.35,44.65
1706637600,1.1844,54.22,45.78
1706659200,1.1848,54.23,45.77
1706680800,1.2696,55.94,44.06
1706702400,1.3646,57.71,42.29
1706724000,1.2326,55.21,44.79
1706745600,1.4184,58.65,41.35
1706767200,1.6532,62.31,37.69
1706788800,1.6582,62.38,37.62
1706810400,1.4355,58.94,41.06
1706832000,1.3747,57.89,42.11
1706853600,1.3568,57.57,42.43
1706875200,1.3375,57.22,42.78
1706896800,1.3159,56.82,43.18
1706918400,1.302,56.56,43.44
1706940000,1.2361,55.28,44.72
1706961600,1.28,56.14,43.86
1706983200,1.2894,56.32,43.68
1707004800,1.3386,57.24,42.76
1707026400,1.3952,58.25,41.75
1707048000,1.439,59.0,41.0
1707069600,1.4673,59.47,40.53
1707091200,1.5471,60.74,39.26
1707112800,1.5523,60.82,39.18
1707134400,1.3629,57.68,42.32
1707156000,1.6631,62.45,37.55
1707177600,1.7824,64.06,35.94
1707199200,1.6695,62.54,37.46
1707220800,1.5615,60.96,39.04
1707242400,1.2153,54.86,45.14
1707264000,1.2507,55.57,44.43
1707285600,1.3821,58.02,41.98
1707307200,1.4624,59.39,40.61
1707328800,1.2119,54.79,45.21
1707350400,1.0458,51.12,48.88
1707372000,0.9331,48.27,51.73
1707393600,0.8983,47.32,52.68
1707415200,0.8619,46.29,53.71
1707436800,0.807,44.66,55.34
1707458400,0.8352,45.51,54.49
1707480000,0.8413,45.69,54.31
1707501600,0.7167,41.75,58.25
1707523200,0.7212,41.9,58.1
1707544800,0.7677,43.43,56.57
1707566400,0.7179,41.79,58.21
1707588000,0.7123,41.6,58.4
1707609600,0.6485,39.34,60.66
1707631200,0.6393,39.0,61.0
1707652800,0.6889,40.79,59.21
1707674400,0.6717,40.18,59.82
1707696000,0.6793,40.45,59.55
1707717600,0.7077,41.44,58.56
1707739200,0.6906,40.85,59.15
1707760800,0.62,38.27,61.73
1707782400,0.6088,37.84,62.16
1707804000,0.6176,38.18,61.82
1707825600,0.6764,40.35,59.65
1707847200,0.8248,45.2,54.8
1707868800,0.7924,44.21,55.79
1707890400,0.7516,42.91,57.09
1707912000,0.6396,39.01,60.99
1707933600,0.5773,36.6,63.4
1707955200,0.5883,37.04,62.96
1707976800,0.5931,37.23,62.77
1707998400,0.5936,37.25,62.75
1708020000,0.657,39.65,60.35
1708041600,0.6906,40.85,59.15
1708063200,0.6731,40.23,59.77
1708084800,0.641,39.06,60.94
1708106400,0.6603,39.77,60.23
1708128000,0.6714,40.17,59.83
1708149600,0.6728,40.22,59.78
1708171200,0.7464,42.74,57.26
1708192800,0.8113,44.79,55.21
1708214400,0.7593,43.16,56.84
1708236000,0.7721,43.57,56.43
1708257600,0.7364,42.41,57.59
1708279200,0.7492,42.83,57.17
1708300800,0.7298,42.19,57.81
1708322400,0.7304,42.21,57.79
1708344000,0.7068,41.41,58.59
1708365600,0.734,42.33,57.67
1708387200,0.7986,44.4,55.6
1708408800,0.7979,44.38,55.62
1708430400,0.715,41.69,58.31
1708452000,0.9354,48.33,51.67
1708473600,0.7886,44.09,55.91
1708495200,0.7784,43.77,56.23
1708516800,1.0044,50.11,49.89
1708538400,1.0859,52.06,47.94
1708560000,1.0198,50.49,49.51
1708581600,0.9689,49.21,50.79
1708603200,0.9436,48.55,51.45
1708624800,0.9771,49.42,50.58
1708646400,0.9639,49.08,50.92
1708668000,1.089,52.13,47.87
1708689600,1.1057,52.51,47.49
1708711200,1.1533,53.56,46.44
1708732800,1.1858,54.25,45.75
1708754400,1.1668,53.85,46.15
1708776000,1.1441,53.36,46.64
1708797600,1.0534,51.3,48.7
1708819200,0.9893,49.73,50.27
1708840800,0.9728,49.31,50.69
1708862400,0.9658,49.13,50.87
1708884000,0.9948,49.87,50.13
1708905600,0.9365,48.36,51.64
1708927200,0.994,49.85,50.15
1708948800,1.1222,52.88,47.12
1708970400,0.7367,42.42,57.58
1708992000,0.6798,40.47,59.53
1709013600,0.7947,44.28,55.72
1709035200,0.774,43.63,56.37
1709056800,0.7277,42.12,57.88
1709078400,0.7559,43.05,56.95
1709100000,0.7437,42.65,57.35
1709121600,0.7265,42.08,57.92
1709143200,0.9539,48.82,51.18
1709164800,0.9984,49.96,50.04
1709186400,1.0321,50.79,49.21
1709208000,1.0589,51.43,48.57
1709229600,1.0751,51.81,48.19
1709251200,1.1529,53.55,46.45
1709272800,1.2143,54.84,45.16
1709294400,1.1459,53.4,46.6
1709316000,1.1664,53.84,46.16
1709337600,1.0708,51.71,48.29
1709359200,1.1575,53.65,46.35
1709380800,1.2371,55.3,44.7
1709402400,1.28,56.14,43.86
1709424000,1.2931,56.39,43.61
1709445600,1.2442,55.44,44.56
1709467200,1.2696,55.94,44.06
1709488800,1.1529,53.55,46.45
1709510400,1.1584,53.67,46.33
1709532000,1.1561,53.62,46.38
1709553600,1.0947,52.26,47.74
1709575200,1.1115,52.64,47.36
1709596800,1.1133,52.68,47.32
1709618400,1.2065,54.68,45.32
1709640000,1.3386,57.24,42.76
1709661600,1.5075,60.12,39.88
1709683200,1.6164,61.78,38.22
1709704800,1.4907,59.85,40.15
1709726400,1.3196,56.89,43.11
1709748000,1.1377,53.22,46.78
1709769600,1.2341,55.24,44.76
1709791200,1.3878,58.12,41.88
1709812800,1.3073,56.66,43.34
1709834400,1.1327,53.11,46.89
1709856000,1.1964,54.47,45.53
1709877600,1.3127,56.76,43.24
1709899200,1.2022,54.59,45.41
1709920800,1.2173,54.9,45.1
1709942400,1.2134,54.82,45.18
1709964000,1.2297,55.15,44.85
1709985600,1.2967,56.46,43.54
1710007200,1.3111,56.73,43.27
1710028800,1.2391,55.34,44.66
1710050400,1.0329,50.81,49.19
1710072000,0.9643,49.09,50.91
1710093600,0.9904,49.76,50.24
1710115200,1.0886,52.12,47.88
1710136800,1.1716,53.95,46.05
1710158400,0.9198,47.91,52.09
1710180000,0.8553,46.1,53.9
1710201600,0.8871,47.01,52.99
1710223200,0.9786,49.46,50.54
1710244800,0.9524,48.78,51.22
1710266400,1.4667,59.46,40.54
1710288000,1.3408,57.28,42.72
1710309600,1.2134,54.82,45.18
1710331200,0.9904,49.76,50.24
1710352800,1.0738,51.78,48.22
1710374400,1.019,50.47,49.53
1710396000,1.0338,50.83,49.17
1710417600,1.0855,52.05,47.95
1710439200,1.6144,61.75,38.25
1710460800,1.6137,61.74,38.26
1710482400,1.9438,66.03,33.97
1710504000,1.8409,64.8,35.2
1710525600,1.7624,63.8,36.2
1710547200,1.6817,62.71,37.29
1710568800,1.5394,60.62,39.38
1710590400,1.6998,62.96,37.04
1710612000,1.7315,63.39,36.61
1710633600,2.0469,67.18,32.82
